segment,rank,term,segment_mean_tfidf,global_mean_tfidf,lift_vs_global,differential_score,segment_document_frequency,segment_document_share
1,23,lasts,0.00976859306219118,0.0038204004649112894,2.5569552591029368,0.01323084538387913,4836,0.358275300044451
1,24,phone,0.02356544888774781,0.016004087736926548,1.4724643650198392,0.01315500462928135,9213,0.6825455623055268
1,25,noise canceling,0.010254344531199132,0.0042265259359054105,2.4261875320957302,0.013112138758599984,4377,0.3242702622610757
1,26,connected,0.011233468769188225,0.005088245038983539,2.2077295181178154,0.012834950606800523,5581,0.41346866202400356
1,27,calls,0.014152378740903528,0.007702014462307151,1.8374905434579862,0.012422063985337574,6528,0.4836272040302267
1,28,turn,0.013599094841438805,0.00727833382158638,1.8684351630365754,0.012264078518377266,6424,0.47592235886798046
1,29,good battery,0.007367699685665885,0.0023530609396268205,3.1311129939130433,0.012132211098747266,3743,0.27730034079122834
1,30,hold charge,0.007483233161261418,0.0024493124021501343,3.0552383406204155,0.01205762081870982,3273,0.2424803674618462
1,31,great battery,0.007253958183267193,0.0023118921215808533,3.1376715692812356,0.011966813818674411,3607,0.26722477404059863
1,32,el,0.008624304351566374,0.0033145260018266572,2.601972150832877,0.011898137896735777,2791,0.20677137353682026
1,33,connection,0.011990313834925808,0.006051251680503366,1.9814601122237487,0.011829211084127426,5900,0.4371017928582012
1,34,airpods,0.008237347654618888,0.003139684773743159,2.623622512006079,0.011462764814244093,3057,0.22647799674025781
1,35,la,0.008083086497848375,0.0030307179579851106,2.6670533544319444,0.011439561381219437,2728,0.20210401540969034
1,36,device,0.012855632817209174,0.007036969197959871,1.8268706959964176,0.011176359675678194,6135,0.4545117795228923
1,37,anc,0.006526171809068834,0.0020031564099076892,3.257944199730082,0.011120348078900244,1828,0.1354274707364054
1,38,power,0.010135699470702515,0.00475784573141362,2.1303127595439606,0.011058709514423637,5102,0.3779819232478886
1,39,muy,0.008494941415167333,0.0034629434403721953,2.4530985157531777,0.010997595102870876,2916,0.21603200474144318
1,40,battery life good,0.006440464505299095,0.00203630512334889,3.1628189848799986,0.01069897041428402,3407,0.252407764113202
1,41,life good,0.006494996110416191,0.0020763790084676113,3.1280397662474564,0.010685949854130478,3440,0.2548525707512224
1,42,great battery life,0.006280715238289227,0.0019381753130724266,3.2405299942100734,0.010653536274890392,3242,0.24018373092309972
1,43,good battery life,0.006294459631940971,0.001986373297077965,3.168820099943729,0.010473639400024111,3341,0.24751815083716106
1,44,long battery,0.0062868605461898945,0.0020262080329910303,3.1027715030853176,0.0102699479239215,3287,0.24351755815676396
1,45,touch,0.009512359834934014,0.004514916333361323,2.1068739997547765,0.010226776462650243,4516,0.3345680841606164
1,46,battery lasts,0.006659285259260859,0.00232323103071198,2.8663895967994444,0.010117017326911826,3516,0.26048303452363314
1,47,controls,0.009999606848219182,0.00498731188691633,2.005009326456413,0.01003569490439202,5066,0.37531486146095716
1,48,hour,0.00979305400459506,0.0048233137602214145,2.030358067171469,0.01000589799064302,5183,0.38398281226848424
1,49,life great,0.005860210323643308,0.0018534836127084714,3.161727614585236,0.009732127957675524,3123,0.2313676100162987
1,50,battery life great,0.005810662212489638,0.0018241178772063855,3.1854642087073524,0.009712542967386923,3089,0.2288487183286413
2,1,fell apart,0.003933355500760352,0.002432448020748906,1.6170357872363945,0.002727198361286529,279,0.025533083188432323
2,2,broke,0.011836585741088972,0.010648624408713765,1.1115600744910805,0.001806096339402052,975,0.0892285165187151
2,3,broke week,0.0024186779017009775,0.0016956197088923376,1.4264270983583636,0.0012393451069745757,128,0.011714102681431316
2,4,did work,0.003748029327215688,0.0034488710763171484,1.0867409202002565,0.00044979366033281223,285,0.026082181751624415
